SCANNO,QUESTION,Subject,Chapter,Topic,Sub Topic,ANSWER,Difficulty Level,Question Type,Ans Behavior Tag 1,Ans Behavior Tag 2,Ans Behavior Tag 3,Ans Behavior Tag 4,SOL LINK
1,Q001,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
2,Q002,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
3,Q003,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
4,Q004,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
5,Q005,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
6,Q006,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
7,Q007,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
8,Q008,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
9,Q009,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
10,Q010,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
11,Q011,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
12,Q012,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
13,Q013,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
14,Q014,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
15,Q015,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
16,Q016,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
17,Q017,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
18,Q018,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
19,Q019,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
20,Q020,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
21,Q021,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
22,Q022,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
23,Q023,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
24,Q024,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
25,Q025,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
26,Q026,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
27,Q027,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
28,Q028,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
29,Q029,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
30,Q030,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
31,Q031,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
32,Q032,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
33,Q033,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
34,Q034,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
35,Q035,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
36,Q036,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
37,Q037,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
38,Q038,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
39,Q039,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
40,Q040,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
41,Q041,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
42,Q042,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
43,Q043,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
44,Q044,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
45,Q045,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
46,Q046,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
47,Q047,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
48,Q048,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
49,Q049,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
50,Q050,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
51,Q051,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
52,Q052,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
53,Q053,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
54,Q054,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
55,Q055,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
56,Q056,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
57,Q057,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
58,Q058,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
59,Q059,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
60,Q060,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
61,Q061,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
62,Q062,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
63,Q063,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
64,Q064,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
65,Q065,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
66,Q066,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
67,Q067,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
68,Q068,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
69,Q069,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
70,Q070,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
71,Q071,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
72,Q072,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
73,Q073,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
74,Q074,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
75,Q075,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
76,Q076,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
77,Q077,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
78,Q078,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
79,Q079,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
80,Q080,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
81,Q081,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
82,Q082,,,,,2,1,1,1,2,3,4,rCoPr8UwRMc
83,Q083,,,,,3,1,1,1,2,3,4,rCoPr8UwRMc
84,Q084,,,,,4,1,1,1,2,3,4,rCoPr8UwRMc
85,Q085,,,,,1,1,1,1,2,3,4,rCoPr8UwRMc
